lead_id,customer_summary,agent_summary,stage
1,"Inquired about the cost of a routine cleaning and a check-up, mentioning they haven't been to a dentist in over a year.",Provided the standard pricing for the services and suggested they book a new patient exam to get a full assessment.,1
2,Expressed concerns about the pain involved in a root canal and asked if there were alternative procedures available.,Reassured them that modern techniques minimize discomfort and explained the necessity of a root canal to save the tooth.,0
3,"Described a chipped front tooth and asked for a quote for a dental veneer, wanting to know about payment plans.","Detailed the veneer procedure, provided an estimated cost range, and explained the available financing options.",2
4,"Called to inquire about the clinic's hours and general location, but didn't ask about any specific treatments.","Gave the clinic's operating hours and address, offering to answer any other questions they might have.",0
5,Asked if they accept a specific insurance provider and if they could check their coverage for a crown.,Confirmed they are in-network with that provider and offered to verify their benefits with the insurance company.,2
6,Mentioned they are just calling around to compare prices for teeth whitening and are not ready to commit.,"Outlined their different whitening options and mentioned a current promotion, but did not push for a booking.",0
7,Had a general question about bad breath and if the clinic could help them figure out the cause.,Explained that bad breath could have several causes and recommended a comprehensive exam to determine the issue.,1
8,Stated they had a throbbing toothache and asked for the earliest possible emergency appointment.,Prioritized their situation and found an emergency slot for them to come in later that same day.,2
9,Expressed interest in orthodontic treatment but was worried about the appearance of traditional braces.,Brought up Invisalign as a discreet alternative and scheduled a free consultation to discuss it further.,2
10,"Questioned the necessity of having a wisdom tooth extracted, despite experiencing some discomfort.",Explained the potential risks of not removing the tooth and the reasons for the dentist's recommendation.,1
11,Asked if the clinic offers sedation for dental procedures and if it's covered by insurance.,Confirmed they offer various sedation options and noted that coverage depends on the specific policy.,1
12,Called for a general inquiry about what age children should start seeing a dentist regularly.,Provided the recommended age range and described what a first dental visit for a child entails.,0
13,Described sensitivity to cold drinks and inquired about what might be causing it and the cost of a consultation.,Explained that sensitivity could be a sign of different issues and gave them the price for an exam and X-rays.,1
14,"Stated they have a loose filling and need to get it fixed soon, asking about the soonest available appointment.",Recognized the urgency and found an opening for a filling repair for them within the next two days.,2
15,Asked if they can book a cleaning appointment for their child and requested a cost estimate.,Confirmed they can schedule the appointment and provided the fee for a pediatric dental cleaning.,2
16,Expressed dissatisfaction with their current dentist and asked if this clinic was accepting new patients.,Confirmed they are accepting new patients and invited them to book a 'get to know us' consultation.,1
17,"Had a series of questions about dental implants, including the number of appointments required and the total cost.","Provided a step-by-step overview of the implant process and gave an estimated cost, suggesting a detailed consultation.",2
18,Mentioned they saw a social media ad for the clinic's cosmetic services and wanted to know more.,Described the range of cosmetic treatments available and asked what they were most interested in to provide more detail.,1
19,Called to request their dental records to be sent to a new clinic they were moving to.,Explained the procedure for record transfers and asked for the necessary information to complete the request.,0
20,"Stated they had a sudden toothache and asked if they could be seen today, explaining the pain was very severe.",Immediately offered an emergency appointment time and gave them directions to the clinic.,2
21,Expressed interest in replacing a missing tooth and asked about both bridges and implants.,Outlined the pros and cons of both options and suggested a consultation to determine the best fit for their situation.,2
22,Had questions about the cost of a complete set of dentures and whether the clinic offers them.,"Confirmed they offer dentures and gave a price range, noting that a custom quote would require an exam.",1
23,"Inquired about the different types of fillings available, specifically mentioning composite and amalgam.","Explained the differences between the materials and the pros and cons of each, noting that the dentist would recommend the best one.",1
24,Called to find out if the clinic was open on Saturdays and what their earliest appointment time was.,"Provided the Saturday hours and the earliest booking slot, but no specific treatment was mentioned.",0
25,Asked about the possibility of getting a dental implant after an extraction and if they do same-day procedures.,Explained that implants are not typically same-day procedures and walked them through the multi-step process.,1
26,"Mentioned they have a fear of dentists and are looking for a gentle, friendly clinic.",Empathized with their concerns and reassured them that the clinic's staff are known for being patient and gentle.,1
27,Called about getting a second opinion on a recommended crown and asked about the fee for a consultation.,Informed them of the consultation fee and mentioned that a full exam would be needed to give a proper second opinion.,2
28,Asked for a general price estimate for a crown and if they could pay in installments.,Gave a typical price range for a crown and discussed the clinic's various payment plan options and financing partners.,2
29,Said they were looking for a pediatric dentist and wanted to know about the clinic's experience with children.,Detailed the clinic's approach to pediatric dentistry and the services they offer for young patients.,1
30,"Called to cancel an appointment and did not reschedule, stating they would call back later.","Confirmed the cancellation and offered to assist with rescheduling when they were ready, but they declined.",0
31,Asked about the safety and process of professional teeth whitening for sensitive teeth.,Explained the clinic's use of desensitizing agents and customized trays to minimize sensitivity during the process.,1
32,"Described a broken tooth and inquired about the options for repair, mentioning they wanted it fixed quickly.",Suggested either a filling or a crown depending on the extent of the damage and prioritized getting them an appointment.,2
33,Inquired about the cost of a full set of veneers and asked to see before-and-after photos of past cases.,Provided a detailed estimate for the veneers and directed them to the clinic's online gallery of cosmetic results.,2
34,Called to find out about the clinic's holiday hours for the upcoming long weekend.,Informed them of the specific days the clinic would be closed and the hours for the days they were open.,0
35,Expressed interest in getting Invisalign but had concerns about the cost and the duration of the treatment.,"Provided a cost breakdown for Invisalign and gave a typical timeline, emphasizing the need for a consultation to get a precise plan.",2
36,Mentioned they have an old silver filling they would like to have replaced with a tooth-colored one.,Confirmed that the clinic can do this procedure and gave the estimated cost of a composite filling.,1
37,Had a general question about their insurance and whether they could use their annual coverage for a specific procedure.,Offered to look up their specific plan details and verify their remaining benefits for the year.,1
38,"Stated they had a filling fall out and needed to get it fixed urgently, asking if there were any same-day spots.",Found an immediate opening for a filling and scheduled them for an appointment later in the afternoon.,2
39,Called to ask if they could be seen for a consult about getting a new set of dentures.,Scheduled them for a denture consultation and answered a few preliminary questions about the process.,2
40,Inquired about the cost of a single dental implant and the financing options available.,Provided a cost range for the implant and described the payment plans and financing options for the procedure.,2
41,Called to check if a specific dentist was still working at the clinic and when their next availability was.,Confirmed the dentist's employment and provided their schedule for the upcoming week.,1
42,Expressed curiosity about the dental implant process but was just in the research phase.,Gave a brief overview of the procedure and offered to send them a detailed informational packet.,0
43,Asked about the cost of a dental crown and whether the clinic uses a specific type of material.,"Gave the typical price range for a crown and explained the different materials available, such as porcelain and zirconia.",1
44,Mentioned a broken bracket on their braces and asked if they could come in right away to get it fixed.,Recognized the need for an urgent fix and scheduled an emergency orthodontic appointment for them that day.,2
45,Called to inquire about the cost of a deep cleaning versus a regular cleaning.,Explained the difference between the two procedures and gave a price comparison for both services.,1
46,Asked a general question about the benefits of an electric toothbrush versus a manual one.,Provided general information on the benefits of electric toothbrushes but did not recommend a specific treatment.,0
47,Stated they needed an extraction and asked for a quote and the earliest available appointment.,Provided a cost range for the extraction and found an available time slot for them to come in within the next few days.,2
48,Called to ask about the cost of a single dental implant and if they could use their insurance for it.,Gave a detailed cost estimate and offered to verify their insurance coverage for the procedure.,2
49,Had a general question about their insurance and whether the clinic accepts their plan.,Confirmed the clinic accepts their insurance and offered to check for specific coverage details.,1
50,Expressed interest in dental bonding for a small chip and asked if it was a good option for them.,Explained the benefits of bonding for minor chips and suggested a consultation to see if it was the right choice.,1
51,Asked about the cost of a root canal and if they could pay in installments.,Provided a cost range for the procedure and outlined the clinic's financing and payment plan options.,2
52,Called to get a quote for a dental bridge to replace a missing tooth.,Gave an estimated price for the bridge and explained that an exam would be needed for a precise quote.,1
53,Asked if the clinic offers emergency appointments for a chipped tooth and if they could be seen today.,Confirmed that they offer emergency services and scheduled them for an appointment later that day to fix the chip.,2
54,Expressed curiosity about invisible aligners and asked to know more about the process.,Described the different stages of aligner treatment and encouraged them to come in for a free consultation.,1
55,Called to ask about the cost of an oral cancer screening and what it involves.,Explained that an oral cancer screening is included in a regular exam and gave the price for a new patient visit.,1
56,Mentioned they were just beginning to research cosmetic dentistry and asked for general information.,"Provided a high-level overview of the cosmetic services offered, like veneers and whitening, without pushing for an appointment.",0
57,Stated they had a crown fall off and wanted to know if they could get it recemented as soon as possible.,Urged them to come in to prevent further damage and scheduled an urgent appointment for the recementing.,2
58,Inquired about getting a single tooth whitened to match the rest of their teeth after a root canal.,"Explained the internal whitening procedure and provided a cost estimate, suggesting a consultation to evaluate the case.",1
59,Called to find out if the clinic was open on weekends and if they had a specific oral surgeon on staff.,"Confirmed the weekend hours and that the surgeon they asked about was part of the team, but did not book a visit.",0
60,Asked if the clinic could help with a sore jaw and general teeth grinding issues.,Explained the clinic's approach to treating TMD and suggested they book an exam to determine the best course of action.,1
61,Stated they had a broken tooth and asked for a quote for a crown and to be seen as soon as possible.,Gave a cost estimate for the crown and found an urgent appointment slot for them to come in for the repair.,2
62,Inquired about the cost of a full mouth of veneers and how long the process takes.,"Provided a price range and a timeline for the procedure, noting that a consultation is required for an exact quote.",2
63,Had questions about the cost and procedure for a dental implant and was interested in paying with a specific type of financing.,Gave a cost breakdown for the implant and confirmed the clinic works with the financing partner they mentioned.,2
64,Called to check if they were in-network with a new insurance plan they had recently acquired.,Confirmed they were in-network and offered to verify their coverage for a specific procedure.,1
65,Asked about the clinic's policies regarding late cancellations and what the fee was.,Explained the cancellation policy and the associated fee for last-minute cancellations.,0
66,Expressed interest in getting a new set of dentures because their old ones were ill-fitting.,Scheduled them for a denture consultation to get custom-fitted dentures and a new smile.,2
67,Inquired about the cost of a child's first dental visit and if they had any special offers for families.,Provided the cost for a pediatric exam and explained the family discount they offer for new patients.,1
68,"Stated they had a painful, swollen gum and asked if they could be seen today for an emergency appointment.",Prioritized their condition as an emergency and found an immediate opening for them to come in for an assessment.,2
